CATEGORY,USER_RATING,SIZE,DOWNLOADS,APP_TYPE
Action,3.0876,49770131.3869,179377.0,Paid Apps
Action,2.6682,41869178.966,1005227.0,Free Apps
Adventure,3.5309,43779433.1429,38059.0,Paid Apps
Adventure,2.752,36456311.7251,364512.0,Free Apps
Arcade,2.6503,29073829.5455,46829.0,Paid Apps
Arcade,2.4298,26825736.7719,460512.0,Free Apps
Art & Design,2.1222,20740197.6048,3846.0,Paid Apps
Art & Design,1.9519,15470280.6998,96625.0,Free Apps
Auto & Vehicles,2.0206,17811652.8281,53280.0,Free Apps
Auto & Vehicles,2.4746,10449261.194,4482.0,Paid Apps
Beauty,1.55,17457142.8571,1486.0,Paid Apps
Beauty,1.4136,14848349.5334,48894.0,Free Apps
Board,3.2721,33895103.8576,26225.0,Paid Apps
Board,2.7308,20753729.1645,478630.0,Free Apps
Books & Reference,1.5924,15377437.2093,1802.0,Paid Apps
Books & Reference,2.4725,12308448.57,47810.0,Free Apps
Business,1.4127,18124480.9689,47787.0,Free Apps
Business,1.9343,10885401.9139,8696.0,Paid Apps
Card,3.0214,27467760.7007,365131.0,Free Apps
Card,3.2439,27416341.4634,18417.0,Paid Apps
Casino,3.2577,38342292.3977,360826.0,Free Apps
Casino,2.5712,22898457.6271,5156.0,Paid Apps
Casual,2.3967,27772518.0338,554417.0,Free Apps
Casual,2.3204,24422883.8305,16395.0,Paid Apps
Comics,2.8036,26801941.8379,221095.0,Free Apps
Comics,3.3953,19232883.7209,11912.0,Paid Apps
Communication,2.1073,16773980.4299,260951.0,Free Apps
Communication,2.4259,7911380.9524,15105.0,Paid Apps
Dating,2.4623,16647555.8828,192343.0,Free Apps
Dating,1.5292,15808333.3333,293.0,Paid Apps
Education,1.6709,20873053.0672,3202.0,Paid Apps
Education,2.2493,19602387.8674,39511.0,Free Apps
Educational,1.7652,39231023.5897,15304.0,Paid Apps
Educational,2.4499,29768213.5835,410424.0,Free Apps
Entertainment,2.2284,18532304.7763,4148.0,Paid Apps
Entertainment,2.4177,15085055.6341,145405.0,Free Apps
Events,1.278,19311306.9985,11397.0,Free Apps
Events,0.0,11840000.0,54.0,Paid Apps
Finance,2.3776,18817062.7207,127109.0,Free Apps
Finance,2.2103,6360425.6809,3675.0,Paid Apps
Food & Drink,1.6015,20204153.8462,2217.0,Paid Apps
Food & Drink,1.2777,14910390.6552,32375.0,Free Apps
Health & Fitness,1.5863,29082757.5182,90805.0,Free Apps
Health & Fitness,2.2675,21369870.0303,6842.0,Paid Apps
House & Home,1.4624,17486343.5721,56467.0,Free Apps
House & Home,1.875,16158283.3333,1945.0,Paid Apps
Libraries & Demo,3.0072,17357478.2609,8770.0,Paid Apps
Libraries & Demo,2.091,14275354.4038,109082.0,Free Apps
Lifestyle,1.9297,20877995.5975,3072.0,Paid Apps
Lifestyle,1.9046,19668102.8653,73513.0,Free Apps
Maps & Navigation,1.4849,26279064.9351,4383.0,Paid Apps
Maps & Navigation,2.2036,14738825.9184,106455.0,Free Apps
Medical,1.8519,20380271.0762,34138.0,Free Apps
Medical,1.656,16523011.4155,1854.0,Paid Apps
Music,2.159,35733342.8571,33897.0,Paid Apps
Music,2.6459,33600410.7831,629333.0,Free Apps
Music & Audio,2.2074,17964747.695,93842.0,Free Apps
Music & Audio,2.5627,16558540.8441,10988.0,Paid Apps
News & Magazines,2.4654,14006221.7633,100920.0,Free Apps
News & Magazines,2.0735,7006000.0,3906.0,Paid Apps
Parenting,2.4261,21512484.1154,122181.0,Free Apps
Parenting,1.8946,18221188.0435,6470.0,Paid Apps
Personalization,2.9556,20975044.4485,6981.0,Paid Apps
Personalization,2.7367,11835651.0159,157963.0,Free Apps
Photography,2.4958,17134835.001,530708.0,Free Apps
Photography,3.0315,15413375.2418,35991.0,Paid Apps
Productivity,1.9107,15084869.0805,239490.0,Free Apps
Productivity,2.4978,8259661.2167,11221.0,Paid Apps
Puzzle,3.0241,30686403.4934,40592.0,Paid Apps
Puzzle,2.6351,25177365.303,363730.0,Free Apps
Racing,2.9296,43999420.789,1467767.0,Free Apps
Racing,3.1433,40213228.3465,103953.0,Paid Apps
Role Playing,3.3205,50013425.2134,953724.0,Free Apps
Role Playing,3.8488,48163141.4634,66689.0,Paid Apps
Shopping,1.8218,15097360.849,139842.0,Free Apps
Shopping,2.0651,8885186.0465,7192.0,Paid Apps
Simulation,3.1881,45170221.0214,843948.0,Free Apps
Simulation,3.3693,42486661.7375,52323.0,Paid Apps
Social,2.3958,18603572.4903,264884.0,Free Apps
Social,1.9194,9586442.3963,6018.0,Paid Apps
Sports,2.2894,20574403.6923,270492.0,Free Apps
Sports,2.2389,18849256.1655,9942.0,Paid Apps
Strategy,2.7822,40842487.0273,930832.0,Free Apps
Strategy,3.6065,38291873.2673,64775.0,Paid Apps
Tools,2.3328,10972533.4656,335223.0,Free Apps
Tools,2.5417,6477886.4879,9805.0,Paid Apps
Travel & Local,1.911,20421249.3311,84298.0,Free Apps
Travel & Local,1.1332,19502444.6064,3061.0,Paid Apps
Trivia,2.2296,23854081.6327,16181.0,Paid Apps
Trivia,2.5083,21163607.6482,174566.0,Free Apps
Video Players & Editors,2.8979,23269710.8313,893198.0,Free Apps
Video Players & Editors,2.55,17042652.3179,14850.0,Paid Apps
Weather,3.0669,23272424.0972,523809.0,Free Apps
Weather,3.3009,12040037.037,13075.0,Paid Apps
Word,2.8803,23483455.8824,381704.0,Free Apps
Word,2.2667,16492918.5185,10235.0,Paid Apps